Maker, Genmodel,Color,Reg_year,Bodytype,Mileage,Engin_size,Gearbox,Fuel_type,Price,Engine_power,Annual_Tax,Wheelbase,Height,Width,Length,Average_liter_per_100_kilometer,Top_speed_kph,Seat_num,Door_num
Bentley,Continental,White,2011.0,Convertible,30577.46,6.0L,Automatic,Petrol,91752.9411764706,621.0,652.9411764705883,2745.0,1390.0,2194.0,4807.0,13.918047337278107,328.30536,4.0,2.0
Bentley,Continental,Black,2010.0,Convertible,61154.92,6.0L,Automatic,Petrol,58812.94117647059,600.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.836176470588237,321.868,4.0,2.0
Bentley,Continental,Grey,2009.0,Coupe,81271.67,6.0L,Automatic,Petrol,50582.35294117648,552.0,652.9411764705883,2745.0,1390.0,2102.0,4807.0,14.255454545454546,318.64932,4.0,2.0
Bentley,Continental,Silver,2012.0,Coupe,73989.4065,6.0L,Automatic,Petrol,69405.88235294117,567.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,12.062307692307693,317.03998,4.0,2.0
Bentley,Continental,Red,2016.0,Convertible,14467.9666,4.0L,Automatic,Petrol,132882.35294117648,521.0,652.9411764705883,2746.0,1390.0,2226.0,4818.0,9.260433070866142,307.38394,4.0,2.0
Bentley,Continental,Black,2011.0,Convertible,58740.91,6.0L,Automatic,Petrol,75294.11764705883,567.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.755263157894737,312.21196,4.0,2.0
Bentley,Continental,Black,2015.0,Coupe,56326.9,6.0L,Automatic,Petrol,94111.76470588236,626.0,652.9411764705883,2746.0,1391.0,2226.0,4818.0,12.187305699481865,331.52404,4.0,2.0
Bentley,Continental,Black,2016.0,Convertible,15085.95316,6.0L,Automatic,Petrol,144058.82352941178,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Grey,2008.0,Coupe,94307.324,6.0L,Automatic,Petrol,44105.882352941175,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Silver,2008.0,Coupe,79823.264,6.0L,Automatic,Petrol,47000.0,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Maroon,2010.0,Saloon,45061.52,6.0L,Automatic,Petrol,51470.58823529412,552.0,652.9411764705883,3065.0,1475.0,1916.0,5290.0,13.836176470588237,312.21196,4.0,4.0
Bentley,Continental,Black,2009.0,Convertible,61154.92,6.0L,Automatic,Petrol,50582.35294117648,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Grey,2012.0,Coupe,69201.62,4.0L,Automatic,Petrol,74111.76470588235,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Blue,2015.0,Coupe,17699.52132,6.0L,Automatic,Petrol,98764.70588235297,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Grey,2015.0,Coupe,18507.41,4.0L,Automatic,Petrol,105823.52941176471,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Grey,2015.0,Coupe,40716.302,4.0L,Automatic,Petrol,110469.41176470587,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Blue,2011.0,Coupe,32991.47,6.0L,Automatic,Petrol,82175.29411764706,552.0,652.9411764705883,2745.0,1390.0,2102.0,4807.0,14.255454545454546,318.64932,4.0,2.0
Bentley,Continental,Black,2012.0,Coupe,83685.68,4.0L,Automatic,Petrol,69410.58823529413,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Black,2017.0,Coupe,20211.70106,4.0L,Automatic,Petrol,135235.29411764708,521.0,635.2941176470589,2746.0,1391.0,2226.0,4818.0,8.909659090909091,308.99328,4.0,2.0
Bentley,Continental,Red,2015.0,Coupe,46723.96822,4.0L,Automatic,Petrol,94117.64705882354,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Black,2015.0,Convertible,7737.70672,4.0L,Automatic,Petrol,127000.0,521.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Black,2008.0,Saloon,127137.86,6.0L,Automatic,Petrol,40941.17647058824,552.0,652.9411764705883,3065.0,1475.0,1916.0,5290.0,14.255454545454546,313.8213,4.0,4.0
Bentley,Continental,Grey,2016.0,Coupe,7602.522159999999,4.0L,Automatic,Petrol,130529.41176470587,521.0,635.2941176470589,2746.0,1391.0,2226.0,4818.0,8.909659090909091,308.99328,4.0,2.0
Bentley,Continental,Silver,2016.0,Convertible,16267.20872,6.0L,Automatic,Petrol,145882.35294117648,626.0,652.9411764705883,2746.0,1390.0,2226.0,4818.0,12.379736842105263,328.30536,4.0,2.0
Bentley,Continental,Black,2009.0,Convertible,54717.56,6.0L,Automatic,Petrol,61115.29411764706,552.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.836176470588237,305.7746,4.0,2.0
Bentley,Continental,Purple,2016.0,Convertible,4345.218,6.0L,Automatic,Petrol,141176.4705882353,626.0,652.9411764705883,2746.0,1390.0,2226.0,4818.0,12.379736842105263,328.30536,4.0,2.0
Bentley,Continental,Grey,2016.0,Coupe,35566.414,4.0L,Automatic,Petrol,114111.76470588236,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Black,2012.0,Coupe,54717.56,4.0L,Automatic,Petrol,72882.35294117648,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Silver,2008.0,Convertible,53108.22,6.0L,Automatic,Petrol,54111.76470588236,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Black,2012.0,Coupe,64373.6,4.0L,Automatic,Petrol,73529.41176470589,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Black,2012.0,Coupe,15288.73,6.0L,Automatic,Petrol,88117.64705882354,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Black,2014.0,Convertible,40819.29976,4.0L,Automatic,Petrol,108764.70588235297,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Silver,2008.0,Convertible,93341.72,6.0L,Automatic,Petrol,49288.23529411765,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Black,2015.0,Coupe,65982.94,6.0L,Automatic,Petrol,95294.11764705884,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Blue,2012.0,Coupe,61798.656,4.0L,Automatic,Petrol,72929.41176470589,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Grey,2010.0,Coupe,43452.18,6.0L,Automatic,Petrol,63528.23529411765,621.0,652.9411764705883,2745.0,1390.0,2194.0,4807.0,13.918047337278107,328.30536,4.0,2.0
Bentley,Continental,Grey,2009.0,Coupe,36295.44502,6.0L,Automatic,Petrol,57636.470588235294,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Purple,2010.0,Coupe,51820.748,6.0L,Automatic,Petrol,56352.94117647059,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Blue,2016.0,Coupe,25749.44,4.0L,Automatic,Petrol,117394.11764705884,521.0,635.2941176470589,2746.0,1404.0,2227.0,4806.0,8.776679104477612,308.99328,4.0,2.0
Bentley,Continental,Black,2013.0,Convertible,47475.53,4.0L,Automatic,Petrol,94111.76470588236,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,9.081660231660232,300.94658,4.0,2.0
Bentley,Continental,Black,2008.0,Convertible,56246.433,6.0L,Automatic,Petrol,59941.17647058824,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,White,2010.0,Coupe,53710.11316,6.0L,Automatic,Petrol,70582.35294117648,621.0,652.9411764705883,2745.0,1390.0,2194.0,4807.0,13.918047337278107,328.30536,4.0,2.0
Bentley,Continental,Silver,2008.0,Convertible,25749.44,6.0L,Automatic,Petrol,58762.35294117648,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,Black,2008.0,Convertible,81418.11994,6.0L,Automatic,Petrol,53517.64705882353,552.0,652.9411764705883,2745.0,1398.0,2101.0,4804.0,14.255454545454546,313.8213,4.0,2.0
Bentley,Continental,White,2013.0,Coupe,30577.46,4.0L,Automatic,Petrol,82341.17647058824,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Grey,2016.0,Convertible,20940.73208,4.0L,Automatic,Petrol,139994.11764705885,521.0,652.9411764705883,2746.0,1404.0,2227.0,4806.0,9.081660231660232,307.38394,4.0,2.0
Bentley,Continental,Grey,2012.0,Coupe,65982.94,4.0L,Automatic,Petrol,70470.58823529413,500.0,635.2941176470589,2746.0,1404.0,1944.0,4806.0,8.744052044609665,302.55592,4.0,2.0
Bentley,Continental,Grey,2015.0,Coupe,15039.2823,6.0L,Automatic,Petrol,105823.52941176471,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.062307692307693,331.52404,4.0,2.0
Bentley,Continental,Blue,2011.0,Saloon,70704.74356,6.0L,Automatic,Petrol,55235.29411764706,600.0,652.9411764705883,3065.0,1465.0,1916.0,5290.0,13.836176470588237,321.868,4.0,4.0
Bentley,Continental,Grey,2017.0,Coupe,17253.73414,4.0L,Automatic,Petrol,129400.0,521.0,635.2941176470589,2746.0,1391.0,2226.0,4818.0,8.909659090909091,308.99328,4.0,2.0
Bentley,Continental,Grey,2010.0,Convertible,41842.84,6.0L,Automatic,Petrol,70582.35294117648,600.0,652.9411764705883,2745.0,1388.0,1918.0,4804.0,13.836176470588237,321.868,4.0,2.0
Bentley,Continental,Black,2016.0,Convertible,14644.994,4.0L,Automatic,Petrol,136340.0,521.0,652.9411764705883,2746.0,1390.0,2226.0,4818.0,9.260433070866142,307.38394,4.0,2.0
Bentley,Continental,Blue,2015.0,Convertible,46670.86,6.0L,Automatic,Petrol,127058.82352941176,626.0,652.9411764705883,2746.0,1394.0,2227.0,4806.0,12.379736842105263,326.69602,4.0,2.0
Bentley,Continental,Blue,2010.0,Coupe,33796.14,6.0L,Automatic,Petrol,64705.88235294118,600.0,652.9411764705883,2745.0,1380.0,2102.0,4804.0,13.836176470588237,325.08668,4.0,2.0
Bentley,Continental,Grey,2009.0,Coupe,88272.299,6.0L,Automatic,Petrol,58811.76470588236,621.0,652.9411764705883,2745.0,1390.0,2194.0,4807.0,13.918047337278107,328.30536,4.0,2.0
Bentley,Continental,Blue,2010.0,Coupe,46670.86,6.0L,Automatic,Petrol,55235.29411764706,552.0,652.9411764705883,2745.0,1390.0,2102.0,4807.0,14.255454545454546,318.64932,4.0,2.0
